Data,IE00BJXFZ989
01/2022,165009.96518811106
02/2022,160151.36384427294
03/2022,165131.88363605214
04/2022,160036.33011576344
05/2022,157720.16057736427
06/2022,148997.1954330479
07/2022,162383.78052905033
08/2022,159538.6460333475
09/2022,148036.36704750205
10/2022,154352.9515064158
11/2022,158959.96407160323
12/2022,148586.49633524934
01/2023,156792.70039513518
02/2023,155396.95655817268
03/2023,156495.56372297383
04/2023,157258.72701695855
05/2023,160001.85813038863
06/2023,166482.06418081006
07/2023,170138.35912093587
08/2023,167781.55014081512
