Data,DE000A0F5UJ7
04/2018,40559.0679065939
05/2018,37322.50152925581
06/2018,37093.549403961435
07/2018,38699.51480659198
08/2018,35710.507364148
09/2018,36233.281117391205
10/2018,33359.01989497324
11/2018,33246.26089502094
12/2018,30679.04024852555
01/2019,32170.398803716354
02/2019,33719.61737193642
03/2019,32401.446673624087
04/2019,35089.70100091586
05/2019,31514.938352654633
06/2019,32001.361471876466
07/2019,31181.34821739005
08/2019,29175.967525080345
09/2019,31780.500936106517
10/2019,32455.674491374066
11/2019,33273.43728586496
12/2019,34669.40829563203
01/2020,32901.30165973002
02/2020,30305.318213468778
03/2020,21372.52403938507
04/2020,21629.135288727997
05/2020,21566.012622025635
06/2020,22730.499765762357
07/2020,21498.446818263463
08/2020,22343.835822254805
09/2020,19945.23256673457
10/2020,20073.454886568634
11/2020,26119.958573537082
12/2020,26078.83052917152
01/2021,25372.30482990072
02/2021,29362.037896051923
03/2021,31301.34477321898
04/2021,32395.616757227257
05/2021,34099.8715429926
06/2021,32694.392424295092
07/2021,32415.715087857567
08/2021,33235.256694758304
09/2021,34510.87958958011
10/2021,36739.0070171637
11/2021,33916.254628074894
12/2021,35968.28426038282
01/2022,38606.1545621625
02/2022,35007.357714131416
03/2022,34254.18769841884
04/2022,33460.358730818574
05/2022,35405.53846860124
06/2022,31924.07598408123
07/2022,32441.68481478882
08/2022,32100.79888406836
09/2022,30593.736406177817
10/2022,33149.56382468435
11/2022,36168.032942226426
12/2022,36184.07731136944
01/2023,41251.1644049874
02/2023,43790.849002292336
03/2023,37995.7014083974
04/2023,39303.10729078621
05/2023,38662.27266305697
06/2023,41473.96601892615
07/2023,43741.20926165381
08/2023,42216.2527278316
09/2023,43293.282304538145
10/2023,40901.18759037255
11/2023,43936.489149146706
12/2023,45552.022687415636
01/2024,46038.50450410618
02/2024,47047.87921276885
03/2024,52018.09560916487
04/2024,54148.23910105852
