Data,IE00BTJRMP35
10/2020,265277.6471579672
11/2020,282966.5704788437
12/2020,296653.0952356827
01/2021,309183.0935092224
02/2021,311904.07600351557
03/2021,317601.24960832234
04/2021,315884.60918055923
05/2021,320082.7375205619
06/2021,329250.12699751084
07/2021,307054.7147861567
08/2021,316660.63590704097
09/2021,310839.1065672851
10/2021,312124.60780764965
11/2021,306814.40440767247
12/2021,313695.7641145683
01/2022,312424.49499065505
02/2022,301912.87226969196
03/2022,297759.34091433755
04/2022,296165.73322025326
05/2022,292694.5160388969
06/2022,282025.5222178839
07/2022,286745.0189305792
08/2022,293709.9961458385
09/2022,266086.1717053688
10/2022,253502.21118050002
11/2022,278138.8077308812
12/2022,266878.037624245
01/2023,283497.01684543514
02/2023,270436.27299710445
03/2023,272141.17474903894
04/2023,266470.3069324508
05/2023,269342.0707982264
06/2023,275071.39769421937
07/2023,288176.9216474752
08/2023,274323.09467896627
