Data,IE00BD1F4K20
10/2014,68789.5674907067
11/2014,70433.93969348725
12/2014,72508.68862528664
01/2015,76272.39262298276
02/2015,81469.07843008175
03/2015,85200.14042227254
04/2015,81511.01283823232
05/2015,84226.55354664156
06/2015,80856.74467322917
07/2015,82921.49494751634
08/2015,76699.87794694325
09/2015,73794.47830514524
10/2015,79989.47659986027
11/2015,83824.28563061057
12/2015,78777.78638899708
01/2016,72843.00235139178
02/2016,73862.18187378244
03/2016,76743.70325781997
04/2016,77793.56102615474
05/2016,80829.99111197823
06/2016,80629.11063828954
07/2016,84682.39965603576
08/2016,84616.56160521267
09/2016,84604.19058425017
10/2016,83738.88412046088
11/2016,91003.3636758951
12/2016,92189.16167678143
01/2017,92669.30881135356
02/2017,96873.00997011224
03/2017,95764.1459694057
04/2017,94231.93862300907
05/2017,91880.81856263442
06/2017,91820.34976594437
07/2017,90482.49903440324
08/2017,88804.02039105272
09/2017,91272.58079332155
10/2017,93685.04930662569
11/2017,95877.07497419705
12/2017,95727.12908497432
01/2018,96113.34310226621
02/2018,93897.99498222249
03/2018,93192.44945169865
04/2018,94990.9200097936
05/2018,100141.85133962493
06/2018,101609.3513811949
07/2018,103408.82127216319
08/2018,106747.20014938874
09/2018,106888.90331966741
10/2018,99816.07820889704
11/2018,101589.60112678667
12/2018,90266.5626735389
01/2019,99926.28498810806
02/2019,104942.88812730867
03/2019,107033.70060142987
04/2019,111237.42699876263
05/2019,103954.49863901743
06/2019,109606.96167791112
07/2019,112852.56619589304
08/2019,109174.13556748534
09/2019,114107.022816897
10/2019,112828.73793495617
11/2019,118910.21912041212
12/2019,118683.07430336256
01/2020,119444.34064142965
02/2020,109099.38706821228
03/2020,86985.80478838281
04/2020,100631.73868340647
05/2020,105480.17781160057
06/2020,107004.63170846381
07/2020,106783.73355040162
08/2020,110039.41725226172
09/2020,109826.829061417
10/2020,110913.42286481168
11/2020,124616.72348894722
12/2020,128109.08759781707
01/2021,128880.69713248164
02/2021,136865.20498326843
03/2021,145758.9572291073
04/2021,149086.40426505005
05/2021,149517.1951988859
06/2021,155824.07869483245
07/2021,157009.45158479337
08/2021,162118.60897846395
09/2021,158409.93645522115
10/2021,167573.1640591998
11/2021,166957.53166681516
12/2021,174753.7770711299
01/2022,165646.30091674742
02/2022,164151.24959389376
03/2022,168612.67201584624
04/2022,164077.87676095555
05/2022,161708.42265150064
06/2022,150218.46333233247
07/2022,167552.27287051728
08/2022,165554.3447909302
09/2022,152599.9178213801
10/2022,162113.79476576386
11/2022,164721.5611616439
12/2022,152028.29589431058
01/2023,164119.4389038218
02/2023,161301.55793663784
03/2023,153632.7911343118
04/2023,149821.69672131244
05/2023,150600.32737419408
06/2023,160344.12067647252
07/2023,165386.7823925305
08/2023,161451.2449585301
09/2023,156903.0405392853
10/2023,147685.7614211452
11/2023,158323.22045344545
12/2023,170605.79435096297
01/2024,170516.95165550878
02/2024,179199.98583241223
03/2024,187948.8007050386
