Data,IE00B5BD5K76
01/2018,440512.3933002819
02/2018,422831.8944915705
03/2018,414081.00485235645
04/2018,434030.1847528881
05/2018,433379.2765904396
06/2018,431952.6836669836
07/2018,443328.6594803221
08/2018,434053.3038894008
09/2018,438385.32949990605
10/2018,414123.2733183873
11/2018,408749.9192079648
12/2018,386738.5059937304
01/2019,410821.3394912043
02/2019,427263.44085071643
03/2019,436759.7096781884
04/2019,453025.0443280123
05/2019,430739.74371515063
06/2019,450388.32154889405
07/2019,450696.05476419936
08/2019,443900.88161925325
09/2019,462100.4564101635
10/2019,465563.68019076844
11/2019,479881.511838007
12/2019,487401.568209419
01/2020,482929.7284573911
02/2020,441083.7812102554
03/2020,378067.4584712237
04/2020,403405.31985053554
05/2020,411895.3831045321
06/2020,426237.3582568416
07/2020,418298.17022930237
08/2020,432117.9807458932
09/2020,425960.77319569245
10/2020,402246.187500812
11/2020,459568.615676407
12/2020,469752.13389423734
01/2021,468059.90055275627
02/2021,480057.3012288344
03/2021,511561.8719594081
04/2021,518963.6410463598
05/2021,535279.268249308
06/2021,542036.678338174
07/2021,551686.8821547006
08/2021,562675.6709598594
09/2021,547542.8927483907
10/2021,568917.8535047332
11/2021,552918.8109638095
12/2021,591313.8091100106
01/2022,572805.7133874252
02/2022,554444.3225568996
03/2022,558712.737698938
04/2022,554561.3066201746
05/2022,549641.1026753437
06/2022,510454.51413094625
07/2022,545605.5397412432
08/2022,521699.9859954307
09/2022,488601.45503314695
10/2022,514811.9718922044
11/2022,547677.8697801395
12/2022,532807.8500617453
01/2023,570056.6199441554
02/2023,577890.7333972037
03/2023,577615.0124875921
04/2023,595749.936313938
05/2023,576392.2120188309
06/2023,593776.5298200969
07/2023,603218.5029892768
08/2023,587500.2332273052
09/2023,578697.5952455006
10/2023,555727.897740327
11/2023,593100.8924399606
12/2023,615973.6549180762
01/2024,627294.4215635473
02/2024,637654.6991128012
03/2024,662355.151148684
04/2024,655394.9314721246
