Data,XS2115336336
06/2016,66775.1706893013
07/2016,67770.13758474978
08/2016,65991.01241257392
09/2016,66473.56081259415
10/2016,65178.872528107204
11/2016,62120.69496007363
12/2016,61652.47538421814
01/2017,63213.89525766586
02/2017,66408.9124790653
03/2017,65249.270642455514
04/2017,64917.95553890511
05/2017,63210.0203671482
06/2017,60964.90212763299
07/2017,60524.41775609061
08/2017,62104.744804488946
09/2017,60834.691339225974
10/2017,61078.863481337015
11/2017,60454.68683487413
12/2017,60478.21400591685
01/2018,60394.79494584776
02/2018,60339.66933374081
03/2018,60076.92857485526
04/2018,60776.55718698554
05/2018,62364.41432601988
06/2018,59940.1827327284
07/2018,58126.1372848365
08/2018,57652.38017822676
09/2018,57281.83859868948
10/2018,59944.02861942504
11/2018,59844.49008953985
12/2018,62483.47423742211
01/2019,64286.726156136654
02/2019,64479.94831967215
03/2019,64327.32214985711
04/2019,63761.50267777591
05/2019,64795.72552932056
06/2019,69039.87647561108
07/2019,71372.64239014148
08/2019,77197.99023506008
09/2019,76019.67225240577
10/2019,75481.24958879355
11/2019,74072.0789591085
12/2019,75513.72444749998
01/2020,79827.81248861007
02/2020,81659.93242778118
03/2020,81755.74359621073
04/2020,87143.44944355267
05/2020,86389.93730572273
06/2020,87853.8550535176
07/2020,92260.12909318993
08/2020,91180.56066324045
09/2020,89623.7826052652
10/2020,89443.89676934847
11/2020,81785.23111908005
12/2020,85654.22273058936
01/2021,85341.06810418954
02/2021,79886.03103884312
03/2021,80114.93721363647
04/2021,81254.76691256896
05/2021,86469.57712210112
06/2021,82368.21061378074
07/2021,85227.3530300678
08/2021,85110.9658290693
09/2021,83516.38969644517
10/2021,84283.29187825986
11/2021,88080.53746914926
12/2021,89121.0208832344
01/2022,89227.42742158422
02/2022,94542.44253712066
03/2022,96972.78135634433
04/2022,100494.11053046105
05/2022,95097.25952883299
06/2022,96906.94432359503
07/2022,95230.2848879308
08/2022,95021.36718197266
09/2022,94952.28943829588
10/2022,91516.00763960702
11/2022,93533.01574672654
12/2022,94026.53400195182
01/2023,98257.90519530498
02/2023,95046.36147422928
03/2023,100680.74150082658
04/2023,99833.95052259219
05/2023,101661.03193373469
06/2023,97276.86917519644
07/2023,98802.04219806936
08/2023,98751.39909532254
09/2023,97542.46374635893
10/2023,103870.90364901273
11/2023,102835.09243819067
12/2023,103055.69050389658
01/2024,104596.14362471562
02/2024,104418.07867857408
03/2024,113034.2402075143
04/2024,118764.78580042798
