Data,IE00B0M62Q58
05/2014,244595.2832146482
06/2014,247939.27321901303
07/2014,248966.95748235614
08/2014,258034.44936036982
09/2014,262993.37405003846
10/2014,265832.0615473451
11/2014,271939.3925274729
12/2014,274977.78031309304
01/2015,289846.73317938606
02/2015,308482.0544077911
03/2015,317100.0576967832
04/2015,311209.1141976585
05/2015,319125.87397710164
06/2015,305471.5433441961
07/2015,317121.99620052485
08/2015,289455.9190828497
09/2015,278957.4828376612
10/2015,306029.8895547394
11/2015,316987.1010894717
12/2015,302473.10091569636
01/2016,283392.4378655322
02/2016,281991.92761790263
03/2016,287864.6913639923
04/2016,291838.2203950758
05/2016,299907.2558146937
06/2016,297810.72612315125
07/2016,309961.4301031576
08/2016,309560.40547402966
09/2016,310267.1820740135
10/2016,310109.5986477227
11/2016,323638.440673466
12/2016,334202.8457677036
01/2017,335319.24707040796
02/2017,349620.74563750316
03/2017,350092.44674899406
04/2017,347361.6993170882
05/2017,345366.34587629035
06/2017,340748.6776624268
07/2017,339389.7143286994
08/2017,336909.5427212015
09/2017,344885.2226381953
10/2017,356331.99599371676
11/2017,357421.52639661817
12/2017,357756.62166706607
01/2018,362467.7620913645
02/2018,354213.26572034624
03/2018,343336.0288380792
04/2018,354095.9680294717
05/2018,367740.98083413666
06/2018,368705.00167721405
07/2018,377540.30254179117
08/2018,384842.68946691445
09/2018,389332.44314861106
10/2018,368805.7675673042
11/2018,371495.35355981893
12/2018,340364.7937071123
01/2019,365491.9057896578
02/2019,378704.3564957833
03/2019,389701.8420278346
04/2019,403969.5280112921
05/2019,382778.96588316374
06/2019,399632.40635870676
07/2019,409693.0200643241
08/2019,405324.0818764542
09/2019,419369.1874046951
10/2019,419649.2648648796
11/2019,437917.3445011127
12/2019,440736.48735827603
01/2020,445083.91721175745
02/2020,410061.6055650017
03/2020,356304.0580177835
04/2020,397986.90878997813
05/2020,407306.16362425656
06/2020,415595.3311207489
07/2020,411413.8183243496
08/2020,435348.8940546275
09/2020,428477.3881282688
10/2020,415510.3452894501
11/2020,457433.64573995053
12/2020,465329.0263196968
01/2021,465635.25973314163
02/2021,477963.82947737834
03/2021,510347.36840298213
04/2021,518104.7588415685
05/2021,520226.39758877427
06/2021,541847.1227768837
07/2021,551002.7167367048
08/2021,567206.7045619085
09/2021,555392.3587628864
10/2021,583292.6055858077
11/2021,584426.4873359498
12/2021,611152.2453708807
01/2022,587381.2635694979
02/2022,570082.6169745324
03/2022,590660.9315232412
04/2022,570173.3095588157
05/2022,561153.1086424063
06/2022,528397.5283825002
07/2022,580700.4950009448
08/2022,567197.8636526689
09/2022,527534.752488862
10/2022,555731.3594667822
11/2022,567675.1757608025
12/2022,528551.8336253802
01/2023,557005.2568884735
02/2023,554338.8417910623
03/2023,557784.2932940287
04/2023,561850.8534927944
05/2023,571523.8104771848
06/2023,595642.7144334427
07/2023,606635.141949492
08/2023,600337.6606211668
09/2023,589047.0506236904
10/2023,570363.4008931711
11/2023,605792.5681257546
12/2023,628436.876357272
01/2024,648216.63491261
02/2024,676115.9613530387
03/2024,698529.367693473
04/2024,678127.6156016387
