Data,IE00B5L01S80
08/2011,35760.77142953191
09/2011,33606.50707257467
10/2011,36400.488504539484
11/2011,35603.07734541987
12/2011,37255.58046507343
01/2012,39799.993965215355
02/2012,40304.48030489715
03/2012,40961.03780654343
04/2012,42168.634560405946
05/2012,42265.71919940482
06/2012,43850.44285958091
07/2012,46802.83735707229
08/2012,45803.84484749635
09/2012,45592.13475376529
10/2012,45628.69549188249
11/2012,45904.65521075949
12/2012,47008.68255945359
01/2013,47082.90868049964
02/2013,49223.82402975425
03/2013,51236.35053228653
04/2013,53528.63372603432
05/2013,50233.678686832885
06/2013,48728.28071641264
07/2013,48259.16743053721
08/2013,46493.789752418226
09/2013,47884.840131946665
10/2013,49019.784406983556
11/2013,47247.51150606465
12/2013,46763.27050129
01/2014,47646.91941581177
02/2014,48425.26905029671
03/2014,48581.96927390362
04/2014,49763.90491036981
05/2014,52188.93501446162
06/2014,52705.24845697422
07/2014,54094.775989172886
08/2014,55768.94078908607
09/2014,54537.28305093322
10/2014,58627.471354251495
11/2014,59414.402806737926
12/2014,61472.37379104301
01/2015,69155.7060819578
02/2015,69164.47607141479
03/2015,72078.8074747862
04/2015,68012.7583962671
05/2015,68510.99103083392
06/2015,64775.77469886591
07/2015,67568.48864667454
08/2015,62677.076418102864
09/2015,63673.78626796645
10/2015,68005.67817333303
11/2015,69563.96577706886
12/2015,68241.17214189669
01/2016,65543.8583843486
02/2016,65522.01043155383
03/2016,68384.62013985885
04/2016,67951.78208962479
05/2016,69859.65497975239
06/2016,72519.71941406972
07/2016,75627.31977141053
08/2016,73924.43911705255
09/2016,72526.42470626906
10/2016,70086.46187766345
11/2016,70432.60093488378
12/2016,72876.04536692963
01/2017,71480.21721026539
02/2017,74936.79942425876
03/2017,73290.78174170056
04/2017,72752.53870241673
05/2017,71029.3237916258
06/2017,70544.84543512433
07/2017,69455.26099406292
08/2017,68958.46093659327
09/2017,69093.30456193672
10/2017,69753.97504694712
11/2017,70006.74284308957
12/2017,70403.86818011838
01/2018,67819.06546750554
02/2018,64605.746061313126
03/2018,65516.1506684475
04/2018,67974.29442228435
05/2018,71480.21316698311
06/2018,72439.87863023744
07/2018,72822.10844947388
08/2018,73872.40934455617
09/2018,72432.95630063998
10/2018,71426.62580893005
11/2018,74086.55195763965
12/2018,69219.59814243547
01/2019,76418.07439960814
02/2019,76837.27302930999
03/2019,80616.26268962388
04/2019,79648.34473408842
05/2019,79804.71471272646
06/2019,79255.66001701333
07/2019,81279.18192869428
08/2019,83653.78623032532
09/2019,86418.27571903463
10/2019,86493.82377139278
11/2019,86386.75294567487
12/2019,85210.82679561056
01/2020,86967.69360585573
02/2020,80451.30002838114
03/2020,62141.280396832815
04/2020,66611.29594899782
05/2020,65678.21296578155
06/2020,66696.97323610066
07/2020,65036.25024533092
08/2020,65898.53412101018
09/2020,65070.867072233785
10/2020,63256.447764250166
11/2020,69689.5717948693
12/2020,70471.25129887147
01/2021,70343.9358338177
02/2021,72967.14276300775
03/2021,77443.28226242159
04/2021,80399.54634167365
05/2021,80515.32186122428
06/2021,83598.1836534159
07/2021,86743.78443370521
08/2021,88216.92671220489
09/2021,84563.05452860027
10/2021,89697.93627863296
11/2021,90081.98763872297
12/2021,94746.15518646334
01/2022,90500.18555241944
02/2022,88040.4836412867
03/2022,92765.1937437061
04/2022,92424.32287562834
05/2022,86997.0394275907
06/2022,81328.26794302596
07/2022,89957.7682586033
08/2022,85220.31489292711
09/2022,76528.05765109237
10/2022,78061.97823720523
11/2022,79904.08546100701
12/2022,74867.34611654133
01/2023,80108.21055146989
02/2023,78356.8130501758
03/2023,73904.62782525751
04/2023,74034.33606346528
