Data,IE00B9MRHC27
10/2018,1090796.9516684143
11/2018,1073413.7086281513
12/2018,1030390.0149326915
01/2019,1084241.7938545344
02/2019,1121598.150045444
03/2019,1143168.354558115
04/2019,1172780.6158376727
05/2019,1103955.2155995318
06/2019,1160276.3111741692
07/2019,1145058.4071731542
08/2019,1132319.8419813763
09/2019,1174200.98710745
10/2019,1192189.274847562
11/2019,1222862.3933533113
12/2019,1256040.9881938868
01/2020,1262110.585556718
02/2020,1182290.401635044
03/2020,1052545.2803880402
04/2020,1150789.5977136767
05/2020,1208298.0101999498
06/2020,1228470.5127178435
07/2020,1267041.69138565
08/2020,1326475.4436192561
09/2020,1337545.4133884106
10/2020,1276540.545257872
11/2020,1425091.1064963571
12/2020,1453730.8702810556
01/2021,1469841.0069057439
02/2021,1491079.2589109917
03/2021,1591392.5548927917
04/2021,1625012.8726932951
05/2021,1669604.0598472636
06/2021,1701838.2156978692
07/2021,1776207.3786272944
08/2021,1800339.1820146593
09/2021,1742593.4170096864
10/2021,1821794.4320500721
