Data,DE000A0H08J9
09/2007,63032.29413673798
10/2007,65580.7241907059
11/2007,62419.73970752936
12/2007,61829.32127930742
01/2008,53296.44369539045
02/2008,54474.71798089363
03/2008,52027.14920351817
04/2008,54939.42769011439
05/2008,56853.20837937673
06/2008,50681.15041352978
07/2008,50101.8209007182
08/2008,51102.847648348936
09/2008,42995.96727175264
10/2008,33662.08346054897
11/2008,33048.87668431638
12/2008,33270.47275777482
01/2009,32202.050281955846
02/2009,29731.209495868225
03/2009,30065.160531927628
04/2009,35495.80859838058
05/2009,36172.41204317244
06/2009,36144.796935563216
07/2009,39984.1874375128
08/2009,42369.43519002372
09/2009,44106.15326103919
10/2009,42927.27672698627
11/2009,43552.085518689244
12/2009,46772.92603182801
01/2010,46533.087437591574
02/2010,47128.37988313904
03/2010,51616.11200686183
04/2010,52795.542117176235
05/2010,51103.50308418072
06/2010,51600.29906980915
07/2010,53632.90131925789
08/2010,51859.145238356585
09/2010,55847.64820674237
10/2010,57329.62498531618
11/2010,58848.97458082071
12/2010,63119.65956462544
01/2011,63611.759624554354
02/2011,64480.62446197422
03/2011,63822.18763127117
04/2011,66481.61881778848
05/2011,66047.17954793398
06/2011,64378.06456033846
07/2011,60705.489970300376
08/2011,53711.20679901464
09/2011,49056.010803028745
10/2011,53679.76189054991
11/2011,53314.26736037176
12/2011,53982.16286837131
01/2012,58042.96049788101
02/2012,61288.19731375132
03/2012,61431.351506500236
04/2012,60979.61949030912
05/2012,56666.19569417842
06/2012,57675.238891085115
07/2012,60966.11310623072
08/2012,62142.77093750842
09/2012,63084.52285024498
10/2012,63896.28024442331
11/2012,66038.98063311132
12/2012,67263.57305463286
01/2013,68533.943976835
02/2013,71509.57763517728
03/2013,72865.84602754033
04/2013,71833.10517081557
05/2013,74661.65370345325
06/2013,70604.56664542809
07/2013,75055.85186575817
08/2013,74682.43310929115
09/2013,79305.36525986392
10/2013,81304.53903178021
11/2013,82251.02617264741
12/2013,83960.97183993812
01/2014,82184.29267860649
02/2014,84772.7885601507
03/2014,84416.12509555416
04/2014,83922.76928686563
