Data,IE00B5L8K969
07/2021,142879.78639144887
08/2021,147386.0588101938
09/2021,144412.85522079808
10/2021,145402.59605926185
11/2021,143579.7941231479
12/2021,146203.71857978267
01/2022,143238.24750841255
02/2022,139331.82520594695
03/2022,136198.23904580084
04/2022,136141.9331853335
05/2022,134481.67417998868
06/2022,132097.6220191903
07/2022,132939.04546966546
08/2022,136087.81405496137
09/2022,121177.236664771
10/2022,112159.62653564048
11/2022,127203.56737120145
12/2022,122776.27499384255
01/2023,131302.90447363025
02/2023,124737.03753716739
03/2023,126206.43203626518
04/2023,122036.1589443315
05/2023,124123.70170490613
06/2023,125441.29380042088
07/2023,131445.90262121437
08/2023,125111.26673386626
09/2023,125047.89746161795
10/2023,119808.32088758424
11/2023,125220.7492462062
12/2023,127934.82605869019
01/2024,123627.97156118312
02/2024,131002.1812715194
03/2024,135179.3707632788
04/2024,137609.17780881296
