Data,IE00BL25JN58
12/2015,102350.00909003364
01/2016,100355.543231101
02/2016,102807.79509279692
03/2016,103925.68497496772
04/2016,104855.02318994638
05/2016,107041.34864575446
06/2016,112134.20897898008
07/2016,114199.43206748053
08/2016,110739.15517262259
09/2016,110638.17813478743
10/2016,109020.87319826115
11/2016,110567.67748557939
12/2016,114073.63598699239
01/2017,113847.96538872874
02/2017,119377.02453795199
03/2017,118868.61499963654
04/2017,117516.11589119048
05/2017,117860.69596349183
06/2017,115241.58346515078
07/2017,114291.43879688557
08/2017,114315.69807977346
09/2017,114756.53111713757
10/2017,118076.46450106533
11/2017,119265.21713791373
12/2017,118059.34062979663
01/2018,117090.8189198281
02/2018,114634.50538662067
03/2018,113597.80292220908
04/2018,116008.38952931705
05/2018,120027.72938466369
06/2018,121292.68728318377
07/2018,124318.78466991278
08/2018,127197.99386408905
09/2018,129612.71134156194
10/2018,126521.91925334027
11/2018,129740.92694402233
12/2018,121600.13937583604
01/2019,127456.62035598395
02/2019,132194.7756024942
03/2019,137208.46319205247
04/2019,138817.8885460557
05/2019,138382.03777986753
06/2019,142108.13148750688
07/2019,145696.69501638107
08/2019,149768.03014979826
09/2019,153376.51619014746
10/2019,151022.55062834115
11/2019,154278.13920992642
12/2019,153267.07918682307
01/2020,158848.9947246717
02/2020,147094.1518851657
03/2020,132844.36762917048
04/2020,143601.58446439743
05/2020,144142.57144965013
06/2020,142986.94443956524
07/2020,140402.7808148424
08/2020,142749.25305952068
09/2020,143241.83020167984
10/2020,138763.02223427044
11/2020,145000.6706152567
12/2020,144521.4115468447
01/2021,143314.0441950331
02/2021,141165.99623550702
03/2021,153250.4586375467
04/2021,153176.09614601053
05/2021,154378.01630309445
06/2021,160116.98151832644
07/2021,164327.22394374534
08/2021,168107.54423778635
09/2021,164078.36485578737
10/2021,168187.81214995278
11/2021,168926.16534219336
12/2021,179377.39249362928
01/2022,172046.83332840673
02/2022,168387.15955732233
03/2022,177764.10615700838
04/2022,178176.0858181333
05/2022,174087.44729128163
06/2022,171757.67983118928
07/2022,181225.96291092908
08/2022,179379.2273436236
09/2022,171408.07571495493
10/2022,178314.20128702337
11/2022,180781.47573883415
12/2022,172360.49102478634
01/2023,172865.4742993506
02/2023,170067.67041569177
03/2023,172821.3157606064
04/2023,175791.61897876428
05/2023,173598.3473286145
06/2023,175954.85438379942
07/2023,175752.2432628521
08/2023,175626.78245565863
09/2023,175316.3819171558
10/2023,172462.381946667
11/2023,176703.14453013582
12/2023,179460.4091524303
01/2024,187015.23115279138
02/2024,188954.50944661998
03/2024,193958.3792981656
04/2024,188775.25521940622
