Data,IE00B58ZM503
11/2019,5606.509040682042
12/2019,5888.086684398196
01/2020,5454.106168206283
02/2020,5178.398092261102
03/2020,4514.365418008441
04/2020,4444.193603931421
05/2020,4636.091048327889
06/2020,4741.391250614108
07/2020,5011.157010369963
08/2020,5349.227896335757
09/2020,5169.230007367731
10/2020,5241.222416970221
11/2020,5424.612894722702
12/2020,5693.378514118999
01/2021,5842.131973952493
02/2021,6219.044403978091
03/2021,6084.504146511891
04/2021,6587.964465857872
05/2021,6766.875617765513
06/2021,6891.1040621761495
07/2021,7016.658812432801
08/2021,6994.727908213656
09/2021,7341.701712569006
10/2021,7530.249094384689
11/2021,6978.43740394185
12/2021,7223.261091570339
01/2022,7856.4547848777165
02/2022,8344.534310452556
03/2022,9064.64453688851
04/2022,9438.530787536907
05/2022,9581.211513221391
06/2022,8547.11149375388
07/2022,8910.33501187673
08/2022,8916.759716585932
09/2022,8192.21087749115
10/2022,8354.04281548661
11/2022,8581.542003347868
12/2022,8370.121709722383
01/2023,8327.607911968356
02/2023,7935.230787697331
03/2023,7917.640439117074
04/2023,7856.845448920414
05/2023,7412.684372945279
06/2023,7710.820702883859
07/2023,8192.163754199366
08/2023,8127.962486345461
09/2023,8070.240818583153
10/2023,8090.377619433864
11/2023,7906.93145062221
12/2023,7692.961350223501
01/2024,7722.320806357555
02/2024,7607.639470569003
03/2024,7858.1095938295175
04/2024,8068.429882208468
