Data,IE00B5SSQT16
07/1995,55484.630318093696
08/1995,55811.09898601744
09/1995,56251.8718182389
10/1995,53249.93564890686
11/1995,52406.67958027458
12/1995,55591.242233725956
01/1996,60258.72144910605
02/1996,59633.85674227234
03/1996,60052.52925804335
04/1996,62978.582193898575
05/1996,63450.05121347675
06/1996,63343.196410551536
07/1996,58109.46206281479
08/1996,59049.315520889984
09/1996,60069.70314161428
10/1996,58642.02169657627
11/1996,58852.0196655352
12/1996,60419.301468664176
01/1997,66288.37157579372
02/1997,72130.66197319765
03/1997,71042.19965010167
04/1997,71546.00617065514
05/1997,73359.40323789137
06/1997,78144.5090276554
07/1997,81507.96653725112
08/1997,73154.98646249695
09/1997,73201.01789095196
10/1997,60069.84958798639
11/1997,56679.41912527014
12/1997,59604.30606005364
01/1998,56185.518709956625
02/1998,61906.18662749521
03/1998,64822.990870247915
04/1998,63674.534307528105
05/1998,54103.66404460197
06/1998,48773.33158897597
07/1998,50432.70534900237
08/1998,35698.10469943709
09/1998,36187.10467539169
10/1998,38515.574432202375
11/1998,42921.2087556868
12/1998,42023.95866566074
01/1999,42691.764169316724
02/1999,44533.63845467475
03/1999,51692.1998771111
04/1999,58875.9636678859
05/1999,59315.42285766468
06/1999,66858.37819982998
07/1999,62807.725403970595
08/1999,64096.63504257712
09/1999,61385.25035668792
10/1999,63956.11262433729
11/1999,72139.86720118756
12/1999,81718.41953420927
01/2000,84336.22911489161
02/2000,86116.8557697627
03/2000,87984.80567165265
04/2000,83736.25149339426
05/2000,78382.87155344778
06/2000,78985.77681549011
07/2000,77450.87398125613
08/2000,80767.12412465233
09/2000,74890.60213349588
10/2000,72323.29762542149
11/2000,63961.510376987186
12/2000,61126.011582438405
01/2001,69625.22468524678
02/2001,64477.050484064865
03/2001,60874.761569117494
04/2001,63558.403772796235
05/2001,67312.59156357149
06/2001,65922.46271858201
07/2001,59808.72706345492
08/2001,56605.37127835567
09/2001,47978.41565762517
10/2001,51451.462486860444
11/2001,57736.329546450506
12/2001,62913.005350672036
01/2002,66362.5808745319
02/2002,67335.36796283322
03/2002,70779.93214940027
04/2002,68984.47607648188
05/2002,65135.85084800279
06/2002,56689.557997602395
07/2002,53398.81417943159
08/2002,53939.2360614395
09/2002,47981.15961772013
10/2002,51067.83248917378
11/2002,54230.22552295923
12/2002,49621.96809971737
01/2003,47896.89224008765
02/2003,46745.133959875624
03/2003,44942.76769716158
04/2003,47902.543747836324
05/2003,48333.71257833157
06/2003,52848.42161926528
07/2003,56692.41919330382
08/2003,62655.29357310835
09/2003,59179.72451817905
10/2003,64374.14114899294
11/2003,63136.0390253228
12/2003,64295.49125081711
01/2004,67893.45649652813
02/2004,70822.42543266043
03/2004,72862.00917634091
04/2004,68447.14484088312
05/2004,65709.80556897535
06/2004,66235.26371174263
07/2004,65682.71226557644
08/2004,68017.16264787447
09/2004,70209.35251721862
10/2004,70031.24381512392
11/2004,73297.64452903686
12/2004,74978.40929572795
01/2005,78587.74168177102
02/2005,84047.03631704858
03/2005,80273.83754076807
04/2005,78166.45775426053
05/2005,85016.7432965572
06/2005,89679.1825328927
07/2005,96005.54777721221
08/2005,96023.91664929177
09/2005,106325.7278100359
10/2005,99522.66001004487
11/2005,110076.15263525305
12/2005,116306.32297442356
01/2006,125926.68108996654
02/2006,128364.76955082775
03/2006,127049.05524430895
04/2006,131398.61885265895
05/2006,114616.09072286748
06/2006,115753.20151576662
07/2006,116944.18649224931
08/2006,119183.37325395095
09/2006,121983.55529504959
10/2006,127406.31993366282
11/2006,131652.11963218093
12/2006,137889.6874231672
01/2007,138755.67545746508
02/2007,135250.918803624
03/2007,139521.74668829062
04/2007,143060.25846178707
05/2007,151724.57019731286
06/2007,158270.4214819276
07/2007,164226.78568076502
08/2007,160793.38357077123
09/2007,172574.8105288751
10/2007,188253.68381650312
11/2007,171172.85969597334
12/2007,172232.86901522637
01/2008,149257.2060926002
02/2008,157170.27603925727
03/2008,142774.92803046157
04/2008,157069.10148721744
05/2008,160339.229849788
06/2008,142001.14385053693
07/2008,138079.74617785608
08/2008,134634.34667054637
09/2008,114425.78883673553
10/2008,93186.28870733918
11/2008,86369.57527066268
12/2008,85155.64505713839
01/2009,86526.53099380396
02/2009,82759.887890856
