Data,IE00B5SG8Z57
08/2006,246542.59886268477
09/2006,249514.07598638744
10/2006,265904.8539026021
11/2006,267966.1042256256
12/2006,280283.32232093596
01/2007,287558.2839656788
02/2007,287088.87570020754
03/2007,298093.1801532721
04/2007,306581.3750355379
05/2007,316369.34354429995
06/2007,322276.9739818482
07/2007,319068.8303883824
08/2007,313912.2952374367
09/2007,347826.90915183345
10/2007,367939.2184995276
11/2007,336457.0306793819
12/2007,329815.2509108877
01/2008,293366.6348708743
02/2008,293192.22621681873
03/2008,267693.8199553583
04/2008,294365.4669478351
05/2008,299562.4063131857
06/2008,272838.4466001546
07/2008,261622.22976426833
08/2008,263745.41752784385
09/2008,225531.3810796031
10/2008,189615.13478827098
11/2008,179900.5326725813
12/2008,174066.9418463265
01/2009,171513.84006822683
02/2009,165210.50597539218
03/2009,177999.29124688415
04/2009,201913.2464184305
05/2009,215635.6204782708
06/2009,221121.7183118244
07/2009,246747.0693799757
08/2009,253027.4621020967
09/2009,271867.2040336925
10/2009,270290.07273160643
11/2009,272566.63507769024
12/2009,290567.13318650034
01/2010,279332.78512454283
02/2010,296502.8266089144
03/2010,320191.67457383306
04/2010,323647.1731686162
05/2010,301756.01216036594
06/2010,301575.63803705655
07/2010,313154.3665139209
08/2010,315491.7437520025
09/2010,331110.0414679635
10/2010,335292.2509487301
11/2010,349956.30467054964
12/2010,366191.9051399893
01/2011,353214.39330575085
02/2011,355140.5374733532
03/2011,353892.2185070715
04/2011,355543.73610515834
05/2011,354756.8393755507
06/2011,346989.2435641635
07/2011,350423.66577949026
08/2011,327008.63539304485
09/2011,298067.3085402582
10/2011,330761.1632990486
11/2011,320903.7330469593
12/2011,329731.7276866207
01/2012,355020.63064746617
02/2012,363446.93416751875
03/2012,355430.80920342467
04/2012,364752.2938194034
05/2012,342550.6163350846
06/2012,358602.56871656945
07/2012,391895.9798237375
08/2012,382627.40874926426
09/2012,387527.4966419634
10/2012,392574.0880605603
11/2012,399334.97694974823
12/2012,402761.3690156184
01/2013,412069.96652470145
02/2013,435306.093447466
03/2013,444079.5430063074
04/2013,452657.83283676265
05/2013,414086.6568801508
06/2013,387303.65355742
07/2013,393991.6635400011
08/2013,394937.06810938014
09/2013,413834.56671003485
10/2013,427956.5677441937
11/2013,416891.1819530188
12/2013,406365.6651524893
01/2014,391626.0760981849
02/2014,408047.1203293134
03/2014,418444.24469424406
04/2014,426150.4288794325
05/2014,442136.6822398443
06/2014,440711.4495840901
07/2014,466620.1403556318
08/2014,474701.60487818887
09/2014,450051.189314276
10/2014,473761.3137818141
11/2014,458095.79525829473
12/2014,459320.7242303565
01/2015,493316.4417935239
02/2015,518483.3851967463
03/2015,534525.8513366528
04/2015,532947.1219462382
05/2015,531131.047155223
06/2015,501244.73923160473
07/2015,505448.0723670064
08/2015,436145.34482251987
09/2015,420637.15490878985
10/2015,458225.5198898921
11/2015,471948.4031381647
12/2015,468751.72440679854
01/2016,426210.80938512314
02/2016,426870.7748246452
03/2016,456317.2924883202
04/2016,464947.29035212484
05/2016,464958.13437388616
06/2016,471033.08778897836
07/2016,503197.7627415783
08/2016,495009.869736534
09/2016,506837.91074721864
10/2016,505875.08896972175
11/2016,520213.4278996074
12/2016,522077.45359537174
01/2017,540704.9758949524
02/2017,565696.9628302351
03/2017,575208.4954488799
04/2017,565241.8332495497
05/2017,545169.502893941
06/2017,547166.5597966496
07/2017,555291.109534922
08/2017,552131.0539781864
09/2017,548214.8220149592
10/2017,563839.7079352434
11/2017,563312.9744925272
12/2017,577495.136476773
01/2018,577348.334039819
02/2018,569521.2943165933
03/2018,541045.574383923
04/2018,569010.4252804542
05/2018,589421.0933859707
06/2018,581967.5528936666
07/2018,589251.4275851876
08/2018,582880.2972091372
09/2018,582764.8137375398
10/2018,543796.0434285842
11/2018,557517.859235955
12/2018,542411.0312245769
01/2019,579471.8881217254
02/2019,605066.3413248303
03/2019,620391.9018526496
04/2019,631885.1236880329
05/2019,618055.367520398
06/2019,644062.4327463281
07/2019,652488.5746336731
08/2019,621287.3158472737
09/2019,637996.6222015893
10/2019,641504.3796620397
11/2019,652814.0041296517
12/2019,654146.7170875715
01/2020,653848.3634547471
02/2020,607681.715502355
03/2020,485543.143255159
04/2020,546397.1461590856
05/2020,531440.2668559072
06/2020,570895.15416554
07/2020,553317.7533937253
08/2020,580717.7986655016
09/2020,556703.7533785269
10/2020,553964.115133547
11/2020,620390.4345990663
12/2020,637716.0977216712
01/2021,649248.9761075128
02/2021,668775.0202589749
03/2021,698125.4649357398
04/2021,705998.3634278409
05/2021,714000.9039659838
06/2021,721503.1723962728
07/2021,710233.6058022189
08/2021,718560.6280817501
09/2021,707850.6875254943
10/2021,726485.8704748625
11/2021,697528.8797211201
12/2021,722918.9363868724
01/2022,692713.4542493421
02/2022,709454.4056694999
03/2022,765207.4958408279
04/2022,758189.5818133877
05/2022,742886.972713984
06/2022,702501.0475889934
07/2022,742890.1185984636
08/2022,744376.6488828072
09/2022,682351.8769161111
10/2022,674122.0257808187
11/2022,738457.0908157462
12/2022,721581.3356724113
01/2023,771642.0425938686
02/2023,736237.866042398
03/2023,722814.782516167
04/2023,717064.1584086445
05/2023,693068.2308593382
06/2023,710358.7061534837
07/2023,730741.3228594097
08/2023,697745.9960268455
09/2023,693840.4043513486
10/2023,661240.4417866048
11/2023,686889.6135198155
12/2023,740907.7879184752
01/2024,729065.0387737156
02/2024,733579.9139099601
03/2024,744051.5705566522
04/2024,741351.983244392
