Data,IE00B4JY5R22
10/2012,48402.605879077695
11/2012,48701.889036787834
12/2012,48363.29012248598
01/2013,49524.19162755408
02/2013,51798.287379943846
03/2013,55092.46178430023
04/2013,54998.23160612959
05/2013,56561.55719094048
06/2013,55477.38691270605
07/2013,57435.260331788864
08/2013,55931.32426708957
09/2013,56523.10138878073
10/2013,58522.926827858275
11/2013,60430.006692640774
12/2013,61141.68013520681
01/2014,60218.95322477537
02/2014,61610.15402257457
03/2014,62230.79388767225
04/2014,62400.28068916363
05/2014,64995.85822536253
06/2014,66080.43005590205
07/2014,66517.62542285657
08/2014,70170.13026427205
09/2014,72501.55630978005
10/2014,74610.80705212466
11/2014,76857.23109692104
12/2014,78810.98075567959
01/2015,82085.6462058738
02/2015,87292.39350151161
03/2015,89738.82329190687
04/2015,86901.84797784731
05/2015,89971.31740548245
06/2015,86488.40344280984
07/2015,90074.24875019243
08/2015,82753.77081871842
09/2015,80779.49267391945
10/2015,89059.66125122791
11/2015,93008.62722564633
12/2015,88937.20085968988
01/2016,84254.34189639763
02/2016,84374.62197692259
03/2016,86151.86222681176
04/2016,86335.79934974205
05/2016,89834.43580591552
06/2016,90474.9463629
07/2016,93703.39556833752
08/2016,93660.03547375665
09/2016,93419.3036749358
10/2016,93501.9625253536
11/2016,99785.56247176249
12/2016,102649.48974552394
01/2017,102498.88021044315
02/2017,108141.62222512835
03/2017,107298.52769036146
04/2017,106013.223585005
05/2017,104700.3267066514
06/2017,103573.97921120848
07/2017,102848.02919148438
08/2017,102291.70626293782
09/2017,104553.5767400172
10/2017,108521.26228397232
11/2017,109840.626861715
12/2017,109710.96188305
01/2018,111654.45614437704
02/2018,109661.1812764609
03/2018,105928.75040095871
04/2018,108448.83815136997
05/2018,114650.75969810174
06/2018,115743.9160751106
07/2018,119235.08819422747
08/2018,123999.59276658692
09/2018,125493.7279548387
10/2018,119561.52584097505
11/2018,121538.68359222882
12/2018,109667.0036268462
01/2019,118045.96877779072
02/2019,122585.9645071779
03/2019,126961.84380127903
04/2019,132282.52813312004
05/2019,124599.59131350962
06/2019,130677.20438558201
07/2019,135256.94828968047
08/2019,134479.98757185752
09/2019,138824.3391908991
10/2019,138439.4882135734
11/2019,145689.73218573947
12/2019,146697.2572530438
01/2020,149031.30800077657
02/2020,137674.0738228641
03/2020,120878.9585874826
04/2020,137358.90621498038
05/2020,140519.4566752548
06/2020,142498.40056854242
07/2020,142252.1459787393
08/2020,151279.8165032596
09/2020,148391.43845080427
10/2020,144545.30072528817
11/2020,156569.933216754
12/2020,158709.30454265964
01/2021,158829.46010024234
02/2021,163385.92963739758
03/2021,176275.50446396187
04/2021,180168.67109643997
05/2021,179628.9665072244
06/2021,188697.4100110129
07/2021,193036.19762039598
