Data,IE00B53L4X51
06/2013,9972.242585167329
07/2013,10782.936790068869
08/2013,10910.72736671365
09/2013,11455.146867582454
10/2013,12722.93513573471
11/2013,12511.824664923768
12/2013,12483.203747071575
01/2014,12776.345382703681
02/2014,13446.61775869415
03/2014,14267.135605924277
04/2014,14337.992544125746
05/2014,14443.803389973531
06/2014,14272.801883664732
07/2014,13791.2442716522
08/2014,13706.790963600159
09/2014,14064.773465153576
10/2014,13314.911381303931
11/2014,13488.260614546924
12/2014,12811.409086543477
01/2015,13815.532614707798
02/2015,15047.788349157943
03/2015,15598.535081713466
04/2015,15534.471385469313
05/2015,16087.60543042594
06/2015,15446.169624292164
07/2015,16182.79355430246
08/2015,15080.990145396589
09/2015,14683.371009490194
10/2015,15470.584298079437
11/2015,15683.791266970842
12/2015,14785.204163426693
01/2016,12875.150840415194
02/2016,12157.910906715244
03/2016,12497.915308597667
04/2016,12875.145134280003
05/2016,12750.669146044253
06/2016,11535.854580494406
07/2016,11994.950800978877
08/2016,12060.366547279258
09/2016,11722.403233228702
10/2016,12236.683107861625
11/2016,12130.028646165363
12/2016,13779.353458850628
01/2017,13346.459577960326
02/2017,13574.347722176826
03/2017,14706.047977120512
04/2017,14858.23989959887
05/2017,15176.325955006525
06/2017,15085.241886608532
07/2017,15776.066647951853
08/2017,15906.174688459203
09/2017,16705.263606193927
10/2017,16772.343542255192
11/2017,16491.650944325113
12/2017,16108.959035356931
01/2018,17371.327219045674
02/2018,16701.87165269688
03/2018,16553.57583373962
04/2018,17771.435091819032
05/2018,16424.874732274508
06/2018,16337.367757255413
07/2018,16829.188257626873
08/2018,15350.223592528699
09/2018,15731.05495606968
10/2018,14464.793288785442
11/2018,14592.409199977488
12/2018,13932.255392273633
01/2019,15062.06458499534
02/2019,15766.857324367025
03/2019,16242.45482463579
04/2019,16781.612631737087
05/2019,15504.918464919527
06/2019,16672.78569484909
07/2019,16850.927371207246
08/2019,16787.00139118394
09/2019,17456.572561703026
10/2019,17914.538129886987
11/2019,18389.417630999316
12/2019,18581.434592677586
01/2020,18435.02521560388
02/2020,17436.03520878568
03/2020,13520.46763670538
04/2020,14033.071469166101
05/2020,14557.404089967202
06/2020,15545.757940849902
07/2020,15366.817233910659
08/2020,15798.648997404538
09/2020,15313.423080246841
10/2020,14445.77340753893
11/2020,17772.274428133536
12/2020,17907.111944510307
01/2021,17434.766916347264
02/2021,18461.265544188467
03/2021,19911.742161368977
04/2021,19525.780634356088
05/2021,20536.184654550358
06/2021,20522.548007047135
07/2021,20808.156704182187
08/2021,21332.641031501724
09/2021,21115.84348313074
10/2021,22221.838773107687
11/2021,21458.841485248115
12/2021,22728.672348888736
01/2022,22366.671886993307
02/2022,21195.90850456233
03/2022,20862.84543801807
04/2022,20429.90523427519
05/2022,20937.97189332783
06/2022,18241.991153636995
07/2022,19272.97511317807
08/2022,18539.81714932033
09/2022,17780.665766904916
10/2022,19500.777122775056
11/2022,21325.632892143938
12/2022,20539.010493120404
01/2023,23145.110741308996
02/2023,23905.760998266433
03/2023,23613.916626321745
04/2023,23901.286461572683
05/2023,23285.058979889094
06/2023,25286.49261298602
07/2023,26647.56696994894
08/2023,25909.264335868567
09/2023,25405.879146203795
10/2023,24947.909368629946
11/2023,26961.935379713923
12/2023,27513.592437823736
01/2024,27981.458476007898
02/2024,29647.636347036685
03/2024,31647.579297266064
04/2024,31202.11494019054
