Data,IE00BCHWNQ94
10/2022,120414.77043799633
11/2022,124294.21256497754
12/2022,119217.71721084425
01/2023,120669.68489661223
02/2023,119074.82659633966
03/2023,119097.85005278539
04/2023,120231.02469891288
05/2023,118176.99580431139
06/2023,121932.12761055795
07/2023,124454.01892165378
08/2023,123369.4161989291
09/2023,123074.12334039858
10/2023,118323.15894114059
11/2023,122490.32420352809
12/2023,126378.73907054226
01/2024,129590.05329801455
02/2024,130867.98800887023
03/2024,136548.81918307117
04/2024,133919.253356272
