Data,DE000A1EK0G3
12/2008,193249.39259167723
01/2009,205330.20708877413
02/2009,212486.7100908273
03/2009,204458.62589510513
04/2009,196940.47977009325
05/2009,217412.86582545956
06/2009,208168.16747719873
07/2009,209068.23305986106
08/2009,212639.164123748
09/2009,221491.94396117877
10/2009,231225.89439088083
11/2009,261293.85752187142
12/2009,245219.96233306132
01/2010,239435.34780856184
02/2010,245922.3557002516
03/2010,247410.22987024664
04/2010,261427.8981649844
05/2010,267562.1044591936
06/2010,275518.3516938681
07/2010,258772.05540377073
08/2010,275689.6917346632
09/2010,289050.9911695184
10/2010,297699.8284482518
11/2010,305677.06708486466
12/2010,311437.04802828125
01/2011,292899.14605153684
02/2011,311295.85190030397
03/2011,317320.1785835675
04/2011,338443.79954439553
05/2011,338497.81077389466
06/2011,331501.9442625167
07/2011,358422.80777888227
08/2011,398963.9424206057
09/2011,356198.4314911338
10/2011,378450.6092450925
11/2011,383539.11064669816
12/2011,345677.59482456563
01/2012,382720.9439603847
02/2012,388238.4749758026
03/2012,364468.1356578667
04/2012,361822.613094486
05/2012,341211.7367062459
06/2012,349913.72737339855
07/2012,354885.8669974931
08/2012,360509.4551055495
09/2012,388215.10151515
10/2012,375564.62279161025
11/2012,376909.3200164348
12/2012,363184.9692795826
01/2013,363170.0984847668
02/2013,346357.37856184883
03/2013,348312.98133103614
04/2013,319973.7607117823
05/2013,303589.04397376336
06/2013,259354.60087020227
07/2013,285880.55684351025
08/2013,303192.95796482847
09/2013,288207.59529504826
10/2013,287522.7202245439
11/2013,271962.8404339713
12/2013,260651.08364502006
01/2014,271261.3643532213
02/2014,287499.08371772064
03/2014,279826.1859689995
04/2014,278984.5713919031
05/2014,270619.6866994885
06/2014,284445.0244968975
07/2014,277870.0092581173
08/2014,277841.4894320196
09/2014,262740.44837824244
10/2014,251326.2792255965
11/2014,255196.2996197423
12/2014,258630.95403577804
01/2015,271659.089373252
02/2015,261555.8883569383
03/2015,255610.1492003215
04/2015,254030.92028687577
05/2015,256305.89022062853
06/2015,251791.22101717727
07/2015,236056.7980085628
08/2015,243806.43122069398
09/2015,239175.60372918996
10/2015,245144.74906249336
11/2015,227759.9003398988
12/2015,227722.98757160758
01/2016,238233.45166693552
02/2016,264493.85026142
03/2016,264813.590499363
04/2016,275098.2499648701
05/2016,259225.05820694662
06/2016,282333.9746468173
07/2016,286737.7286510164
08/2016,279599.2376333958
09/2016,282291.39558022725
10/2016,271373.2333301654
11/2016,251206.83126269115
12/2016,247031.94207257102
01/2017,258355.2395015844
02/2017,267345.63259502215
03/2017,264925.26957171015
04/2017,269391.86231810617
05/2017,269206.2327762933
06/2017,263981.87393366965
07/2017,269228.4091974509
08/2017,278484.1460825749
09/2017,272264.8379867062
10/2017,269383.0750945248
11/2017,271382.1088747014
12/2017,274704.0209834071
01/2018,284855.79212507204
02/2018,278955.2997195549
03/2018,280088.19396988495
04/2018,277697.25338955014
05/2018,275900.7101957685
06/2018,264161.313665458
07/2018,257799.47085725944
08/2018,253766.50690244447
09/2018,250433.9119281051
10/2018,256153.71252608902
11/2018,256575.94070474632
12/2018,269957.6696395007
01/2019,278587.2695253904
02/2019,277587.11377083376
03/2019,272452.95011953305
04/2019,269563.75736612733
05/2019,272216.6229166614
06/2019,295920.516757656
07/2019,299670.92426785216
08/2019,320693.9918022128
09/2019,311492.93133195955
10/2019,316719.0263746908
11/2019,305914.82242496125
12/2019,318932.06597630406
01/2020,331591.1752665074
02/2020,336796.9812454385
03/2020,336443.1002494362
04/2020,355891.94187992514
05/2020,361140.7736803263
06/2020,369194.2225083877
07/2020,410106.2052053217
08/2020,408328.76332876354
09/2020,393431.211957562
10/2020,392184.81632485316
11/2020,367129.4108404183
12/2020,393725.1591358934
01/2021,387847.74446283164
02/2021,362487.9440100148
03/2021,351536.0595265246
04/2021,367286.85548669513
05/2021,394595.90646638954
06/2021,365990.2438717195
07/2021,378804.6492718741
08/2021,376356.8833584883
09/2021,361230.3785986206
10/2021,366514.3415280223
11/2021,373636.8718988784
12/2021,376704.1640492233
01/2022,371375.7730593283
02/2022,394899.9971788724
03/2022,401384.51430171897
04/2022,394811.391477883
05/2022,379620.5160689349
06/2022,374953.6576446208
07/2022,361644.8956188263
08/2022,353732.5804420107
09/2022,344457.14468655764
10/2022,337539.7851018693
