Data,IE00B44Z5B48
06/2022,139593.93983674078
07/2022,152113.59134682082
08/2022,149424.3167073104
09/2022,138627.59301820715
10/2022,144520.7638126874
11/2022,148811.43006816015
12/2022,139076.6772825547
01/2023,146735.64816318554
02/2023,145406.19747132654
03/2023,146411.15049220077
04/2023,147101.95456264666
05/2023,149644.62561514508
06/2023,155681.66154962062
07/2023,159076.1074227125
08/2023,156847.3491117002
