Data,IE00B3DWVS88
11/2015,185060.2429971102
12/2015,175873.336864856
01/2016,163934.00923831467
02/2016,164125.281381247
03/2016,177730.11766171164
04/2016,178406.44063111753
05/2016,175578.53413798404
06/2016,183582.17861011912
07/2016,192690.87982735736
08/2016,197159.96548133672
09/2016,199187.10227293734
10/2016,203553.4349037729
11/2016,199825.81905746914
12/2016,202144.09382541224
01/2017,208924.81576946835
02/2017,218496.59102670135
03/2017,222044.01511760472
04/2017,221934.81719549478
05/2017,222561.9764572127
06/2017,221134.78259978507
07/2017,228141.8484915422
08/2017,231327.1053767381
09/2017,230774.77887531416
10/2017,242271.88773547672
11/2017,238389.79196645023
12/2017,244046.98712246417
01/2018,254498.0064804836
02/2018,247565.95907706517
03/2018,240856.10768318563
04/2018,244581.98547723406
05/2018,243579.65559824888
06/2018,234384.139794459
07/2018,238089.5031503799
08/2018,233354.59764337903
09/2018,233641.48983546463
10/2018,218121.2481975634
11/2018,226253.14281233095
12/2018,218589.62682657607
01/2019,236906.3357860859
02/2019,238901.0600787021
03/2019,244776.67586814734
04/2019,250295.56389981433
05/2019,233547.50242490368
06/2019,243259.81474096596
07/2019,245366.6813016462
08/2019,235847.1579795015
09/2019,243615.85957111305
10/2019,247822.94621817913
11/2019,251314.67634925985
12/2019,264107.0998739589
01/2020,255888.9181371711
02/2020,244004.06371535247
03/2020,206820.02978173541
04/2020,227410.41120272162
05/2020,223799.04381200747
06/2020,238981.1247202774
07/2020,246198.7566582922
08/2020,249702.85528607533
09/2020,250565.4409638863
10/2020,255924.51606424092
11/2020,272966.3054590802
12/2020,286144.1155682445
01/2021,298204.00692698586
02/2021,300801.0320102087
03/2021,306267.82634375215
04/2021,304584.3687204462
05/2021,308604.3958480716
06/2021,317414.7489984198
07/2021,295988.08703201404
08/2021,305220.6667567967
09/2021,299581.4727014151
10/2021,300792.9554161193
11/2021,295647.96572717256
12/2021,302251.77888916567
01/2022,300999.18072394654
02/2022,290844.37478837126
03/2022,286816.4562701711
04/2022,285255.12337524124
05/2022,281885.6358572785
06/2022,271584.7964947644
07/2022,276104.6798084394
08/2022,282785.8957910352
09/2022,256163.57579995843
10/2022,244025.400973408
11/2022,267718.6253209985
12/2022,256855.18743152695
01/2023,272826.48054212634
02/2023,260232.32057286636
03/2023,261849.03928202603
04/2023,256368.6357781569
05/2023,259108.03296885436
06/2023,264595.9143121256
07/2023,277178.0888611044
08/2023,263827.61215631204
