Data,DE000ETFL300
02/2009,48515.298606761746
03/2009,47042.2472535638
04/2009,51679.01424528003
05/2009,53653.53224134482
06/2009,54435.66199587438
07/2009,56725.023510187
08/2009,58379.991949319454
09/2009,55896.57411985776
10/2009,53893.39164264469
11/2009,52526.565126859685
12/2009,55176.80447120138
01/2010,57972.52816620991
02/2010,60307.85403303645
03/2010,63722.07247498655
04/2010,64379.524745642186
05/2010,63993.051506177544
06/2010,62866.337382856844
07/2010,61295.17097796156
08/2010,61513.24862029775
09/2010,59740.64055945366
10/2010,60015.046583088326
11/2010,65301.13949353128
12/2010,68334.1735351895
01/2011,66743.24652921002
02/2011,69042.56817600288
03/2011,61024.679281721226
04/2011,58530.388326895736
05/2011,59454.119193736406
06/2011,60016.446387035736
07/2011,62958.0200439337
08/2011,57054.17397418188
09/2011,60027.35489214218
10/2011,57724.419677865415
11/2011,57548.937754105275
12/2011,60149.69473669331
01/2012,61713.05062676257
02/2012,63514.11272903974
03/2012,64756.88951640739
04/2012,63335.48628290269
05/2012,61426.9152139235
06/2012,63599.64651576809
07/2012,63600.83099505199
08/2012,61475.27863187883
09/2012,61327.52462756743
10/2012,59861.78998795279
11/2012,61291.342635719884
12/2012,63495.41010870549
01/2013,64070.75686528533
02/2013,67861.60452162665
03/2013,72947.9295966775
04/2013,77694.92408101918
05/2013,73633.58871272719
06/2013,74466.26425166886
07/2013,73783.77933214048
08/2013,72383.65358978201
09/2013,76831.81790629728
10/2013,76033.0492420968
11/2013,77302.18419248829
12/2013,76868.1473081872
01/2014,75374.11046083973
02/2014,73326.41553254239
03/2014,72482.85743930415
04/2014,70265.06611271338
05/2014,74382.74964496345
06/2014,77949.12196221329
07/2014,80002.88070900581
08/2014,79365.93315346223
09/2014,82557.27165583671
10/2014,81830.77789043631
11/2014,82317.46480004171
12/2014,83387.79874915727
01/2015,91611.11740490889
02/2015,97693.72192579771
03/2015,103584.97696896225
04/2015,102849.4683291452
05/2015,106473.81906692787
06/2015,102555.56465557274
07/2015,105081.29611440114
08/2015,96741.73212603379
09/2015,90218.7607964391
10/2015,100961.09800381621
11/2015,104049.02385189071
12/2015,101390.33580755026
01/2016,92726.98271854714
02/2016,90410.3656125037
03/2016,90516.23859654993
04/2016,94536.9408156466
05/2016,95604.23122220939
06/2016,93645.53776804448
07/2016,99577.67348251198
08/2016,99745.7717248806
09/2016,101038.15257615216
10/2016,104339.91329590615
11/2016,104757.51946686026
12/2016,106673.63355868659
01/2017,108396.5101865323
02/2017,111197.5897521675
03/2017,109767.71236152665
04/2017,108448.2432350387
05/2017,108768.58283243941
06/2017,108037.23712162061
07/2017,107217.17995345265
08/2017,106229.11077009022
09/2017,108440.98410505369
10/2017,115032.4627707783
11/2017,116315.46033830784
12/2017,115671.45579816138
01/2018,116418.55248751005
02/2018,116898.01419722258
03/2018,113387.41949788589
04/2018,116383.57793982589
05/2018,118931.72041614313
06/2018,116294.20950107333
07/2018,115934.21937090647
08/2018,116990.13334415377
09/2018,121276.44055923587
10/2018,113502.49834389954
11/2018,113492.68323651467
12/2018,105021.75049516033
01/2019,111015.51443526763
02/2019,111632.88651268378
03/2019,114026.19133965917
04/2019,115735.29556082563
05/2019,111771.72583550849
06/2019,113574.81587489022
07/2019,116021.35888703344
08/2019,115994.11987028178
09/2019,122263.43414289816
10/2019,125099.7791803315
11/2019,127720.43361361622
12/2019,127405.64912885596
01/2020,127688.85252891453
02/2020,116751.29981313793
03/2020,108565.3539164125
04/2020,115213.02787809365
05/2020,119138.18155922931
06/2020,118412.23078368517
07/2020,110090.18826278101
08/2020,117511.52734254663
