Data,JE00B1VS3333
01/1995,8018.071562300138
02/1995,7575.9241689031
03/1995,8365.006143179211
04/1995,9265.332087386516
05/1995,8542.782879328093
06/1995,8520.815248684636
07/1995,8054.769717013386
08/1995,8661.617617561715
09/1995,9107.062228665684
10/1995,8689.205516913911
11/1995,8412.002486647138
12/1995,8479.10089009087
01/1996,9209.468220551827
02/1996,9263.661124159507
03/1996,9245.586599675029
04/1996,8915.086316025761
05/1996,9117.038016869516
06/1996,8518.653683783845
07/1996,8530.952256044831
08/1996,8585.703895523407
09/1996,8133.171710566899
10/1996,8061.548638794312
11/1996,7819.543567211136
12/1996,8082.1015734645225
01/1997,8575.473322396154
02/1997,9478.059511536
03/1997,9359.700265620642
04/1997,8550.121454574599
05/1997,8875.082067074092
06/1997,8708.780838636661
07/1997,8317.25320929906
08/1997,9218.588841695393
09/1997,9814.68303039004
10/1997,8974.30650443018
11/1997,9667.653105174546
12/1997,11230.730513309425
01/1998,11586.036123794793
02/1998,12171.268300075093
03/1998,12163.21301416901
04/1998,11828.355264516953
05/1998,9285.617749371664
06/1998,10105.881473235228
07/1998,10441.392067359064
08/1998,9001.767031125479
09/1998,9654.228016157873
10/1998,8723.875601761201
11/1998,8741.901627664509
12/1998,8823.655633885865
01/1999,9532.581682063745
02/1999,10488.423464292364
03/1999,9683.618415718674
04/1999,10622.850942915135
05/1999,9762.336627269286
06/1999,10446.1039852472
07/1999,10529.009399383818
08/1999,9921.947215766762
09/1999,10795.021114074103
10/1999,10446.504393015824
11/1999,10585.67857641472
12/1999,10943.187113355449
01/2000,11076.264358634327
02/2000,10809.336331283548
03/2000,10641.925905896089
04/2000,11192.585639970739
05/2000,10841.622770875123
06/2000,10804.329897593507
07/2000,11014.42035370519
08/2000,11334.331353619747
09/2000,11460.43309487056
10/2000,11568.235442007786
11/2000,10947.62546683531
12/2000,10091.160890736654
01/2001,10574.91278291953
02/2001,9823.409797117192
03/2001,10049.903386347878
04/2001,10076.812504893098
05/2001,10688.247114705717
06/2001,10466.49467022461
07/2001,9852.832380582504
08/2001,9381.712389718477
09/2001,10268.15612943524
10/2001,9663.950556093678
11/2001,9506.28393901974
12/2001,10475.061963657057
01/2002,10104.88419953154
02/2002,10461.987663525551
03/2002,10931.585703650295
04/2002,10412.632110817836
05/2002,10954.609292670537
06/2002,9946.798861246138
07/2002,9700.616661864731
08/2002,9450.574972733337
09/2002,9354.771353722324
10/2002,9227.511680313046
11/2002,9072.981221636772
12/2002,9040.381290212856
01/2003,9152.526011213416
02/2003,8653.860937663103
03/2003,8308.960400080754
04/2003,8393.80755554718
05/2003,7822.529285029568
06/2003,7992.126308378995
07/2003,9095.739243301434
08/2003,9463.861516298877
09/2003,8888.530377333995
10/2003,8942.689432898356
11/2003,9024.488904262229
12/2003,9551.519258275563
01/2004,10161.951513743847
02/2004,10707.909241946138
03/2004,12931.670541366962
04/2004,10055.732996459827
05/2004,10200.590182422548
