Data,IE00BSJCQV56
01/2021,67849.96411910573
02/2021,65747.92903990652
03/2021,67858.56837728116
04/2021,71520.55463749636
05/2021,74670.49930293535
06/2021,75289.49606156762
07/2021,79648.2170656733
08/2021,81349.16539612801
09/2021,73979.79123087291
10/2021,78208.127008144
11/2021,77721.53404420434
12/2021,78020.46057239811
01/2022,75921.5414958476
02/2022,73484.2722782505
03/2022,73338.65571705843
04/2022,67744.12375518573
05/2022,65861.89270220177
06/2022,54126.75713111195
07/2022,61019.41832822543
08/2022,55137.319017927155
09/2022,46611.55225913784
10/2022,47912.30456638029
11/2022,49402.87667761193
12/2022,49009.6900782725
01/2023,53545.16461597241
02/2023,52495.55673469888
03/2023,45674.71264069321
04/2023,48072.788289714445
