Data,IE00B3SC9K16
11/2009,238938.1304266845
12/2009,254274.66496239195
01/2010,253052.84636608942
02/2010,268443.4142326049
03/2010,286406.5813478592
04/2010,294544.106260339
05/2010,292938.4575698213
06/2010,278138.2521594767
07/2010,280251.5676919356
08/2010,275117.7605406047
09/2010,278809.0500913253
10/2010,285383.06190179667
11/2010,304546.6804568684
12/2010,316024.69782388926
01/2011,315762.9441290082
02/2011,322960.05633063876
03/2011,314814.80804838764
04/2011,310151.308042423
05/2011,316880.9427916761
06/2011,310002.7518111219
07/2011,308039.8701895783
08/2011,287136.78598554747
09/2011,285138.1729475409
10/2011,305173.2025814794
11/2011,317521.374852879
12/2011,332353.8559734883
01/2012,341704.3857304384
02/2012,349631.13295070385
03/2012,363133.97112038697
04/2012,364778.3148885392
05/2012,364707.6946726916
06/2012,373452.1608536421
07/2012,387897.24101775954
08/2012,386659.2122443403
09/2012,386687.78170566855
10/2012,377819.94463354105
11/2012,380438.62381053716
12/2012,377952.9385376793
01/2013,387450.3447361619
02/2013,404964.4965835337
03/2013,430778.74801267404
04/2013,430271.7398304644
05/2013,441514.1690882593
06/2013,433107.8706355087
07/2013,449144.6758119083
08/2013,438017.89503513963
09/2013,443424.0847277245
10/2013,458438.476728655
11/2013,472495.98863887053
12/2013,478793.8330678323
01/2014,471890.3438127575
02/2014,483396.24915862625
03/2014,487538.2024396905
04/2014,488211.31121223565
05/2014,508728.4491382451
06/2014,517623.91197851516
07/2014,520919.7684302764
08/2014,549609.5916733133
09/2014,566967.63343114
10/2014,583314.7063116845
11/2014,600677.6621685764
12/2014,615638.8852699985
01/2015,642423.8806831723
02/2015,683859.144443349
03/2015,704033.634005266
04/2015,681495.7739844652
05/2015,705915.4012794173
06/2015,678902.0635734642
07/2015,706401.9804891732
08/2015,648787.3580334038
09/2015,632200.9650620404
10/2015,695841.3764180514
11/2015,727091.8471020831
12/2015,694560.2046428954
01/2016,655569.0141910348
02/2016,656027.6894795246
03/2016,670275.8314890391
04/2016,672440.729748011
05/2016,699943.3821036133
06/2016,704953.5288696027
07/2016,730894.5997680054
08/2016,730659.6959788323
09/2016,729458.0489588836
10/2016,729599.0570938627
11/2016,777962.987651098
12/2016,799448.4857888113
01/2017,799671.9179328321
02/2017,843404.8434179735
03/2017,837063.6715347806
04/2017,827506.0536381699
05/2017,816935.3104463506
06/2017,808193.0960616327
07/2017,802406.1329228093
08/2017,798265.0048756853
09/2017,815755.2798074046
10/2017,846378.6993240223
11/2017,856506.4746632954
12/2017,855288.5225680504
01/2018,870582.5706321356
02/2018,855212.4518801649
03/2018,826991.377988653
04/2018,846844.7366611698
05/2018,895565.919047217
06/2018,904706.6602089519
07/2018,930842.8847791101
08/2018,968566.6473388537
09/2018,979178.5237217465
10/2018,931847.2231301708
11/2018,946456.7812639303
12/2018,854238.0612966275
01/2019,921324.2659306123
02/2019,958057.7046073733
03/2019,991371.1961506738
04/2019,1032563.1386194578
05/2019,972961.84599725
06/2019,1020223.427990956
07/2019,1057132.2157776626
08/2019,1049440.1185403499
09/2019,1082395.7532881894
10/2019,1079548.6515838727
11/2019,1137541.4931545593
12/2019,1144485.2508263243
01/2020,1165466.4953541865
02/2020,1077596.4629772718
03/2020,942587.6472526015
04/2020,1074302.350302876
05/2020,1103663.051532237
06/2020,1122458.998799187
07/2020,1123714.6547269274
08/2020,1198634.9860406774
09/2020,1176633.9027321232
10/2020,1146850.7900206863
11/2020,1249274.4132627884
12/2020,1269791.5016211492
01/2021,1271848.2139543772
02/2021,1306519.6958648893
03/2021,1401294.5289258938
04/2021,1433726.0381884256
05/2021,1426388.9748517475
06/2021,1505031.197450085
