Data,IE00BYXYX745
07/2020,61181.61596641676
08/2020,64594.52970588702
09/2020,64087.25626547658
10/2020,61456.00661736858
11/2020,70044.10822076566
12/2020,72586.63627871641
01/2021,72708.79083907526
02/2021,74045.72514547619
03/2021,78212.75363913862
04/2021,80092.47597007481
05/2021,82380.67506487455
06/2021,83301.62107851736
07/2021,85809.35319546085
08/2021,87157.46606588022
09/2021,83771.73478261051
10/2021,86189.60072616905
11/2021,84164.56967204096
12/2021,89172.40926107438
01/2022,83347.8392949086
02/2022,80396.34324539357
03/2022,80510.18359521721
04/2022,79223.04171311042
05/2022,77397.68096503838
06/2022,70416.4105153427
07/2022,76168.68725727782
08/2022,71488.4669953839
09/2022,65214.35017121709
10/2022,69261.19838106578
11/2022,73406.12213285932
12/2022,72018.1456598986
01/2023,78382.19148053872
02/2023,79418.16093483892
03/2023,77738.89530308009
04/2023,79787.08075130617
05/2023,76583.26603183587
06/2023,77821.1464397212
07/2023,80939.87393152792
08/2023,78539.08809700645
09/2023,76327.1578982032
10/2023,72381.39534976495
11/2023,78403.99761048648
12/2023,82528.83645153003
01/2024,82513.21189983582
02/2024,83234.86640129575
03/2024,86426.93386439221
04/2024,85468.54801383392
