Data,GB00B00FHZ82
05/2016,57042.90995044163
06/2016,62428.22699526875
07/2016,63349.05909858036
08/2016,61676.49525433793
09/2016,62118.242984574266
10/2016,60899.064358143914
11/2016,58032.55953625288
12/2016,57586.448399392764
01/2017,59036.25349401681
02/2017,62011.26490728302
03/2017,60919.11372576754
04/2017,60600.64791874057
05/2017,58997.20727319569
06/2017,56892.87179666982
07/2017,56473.27477871399
08/2017,57939.353183479645
09/2017,56745.79184077278
10/2017,56965.04050212391
11/2017,56374.35904736719
12/2017,56387.84212199958
01/2018,56301.60683426259
02/2018,56241.772056405236
03/2018,55988.43875959988
04/2018,56632.05641127602
05/2018,58103.13891408224
06/2018,55835.83628986344
07/2018,54137.63048626614
08/2018,53688.261061438
09/2018,53335.1443054766
10/2018,55805.91029549508
11/2018,55704.87232604606
12/2018,58152.95451969599
01/2019,59822.50616186043
02/2019,59993.337152402666
03/2019,59842.33193900534
04/2019,59306.98583629745
05/2019,60260.05958888458
06/2019,64198.08324246645
07/2019,66357.62166890506
08/2019,71763.69600833558
09/2019,70657.56027586505
10/2019,70146.51707687268
11/2019,68826.41938113033
12/2019,70155.6460070182
01/2020,74153.10446302305
02/2020,75843.86179449348
03/2020,75921.47241862626
04/2020,80913.31140720447
05/2020,80201.53304161648
06/2020,81548.55516522877
07/2020,85626.35719380571
08/2020,84611.56892357998
09/2020,83154.25529742437
10/2020,82974.8814516458
11/2020,75857.68131936557
12/2020,79434.88129777451
01/2021,79132.54955390173
02/2021,74062.49373026521
03/2021,74263.60371314443
04/2021,75309.04443097637
05/2021,80130.97064931881
06/2021,76318.23299123193
07/2021,78955.9225321245
08/2021,78836.25626178183
09/2021,77347.41301023321
10/2021,78046.06549634166
11/2021,81550.5961644267
12/2021,82501.70968023625
01/2022,82587.83779872331
02/2022,87494.9639354599
03/2022,89731.01372987787
04/2022,92975.91618779015
05/2022,87968.86957034137
06/2022,89629.706977154
07/2022,88065.51200505308
08/2022,87859.10266442352
09/2022,87782.0528113343
10/2022,84592.09143018331
11/2022,86443.80796602023
12/2022,86886.95410477945
01/2023,90783.99770736389
02/2023,87803.11984267655
03/2023,92994.9476202
04/2023,92198.84996027322
05/2023,93872.37001735589
06/2023,89810.01480483048
07/2023,91204.64589601717
08/2023,91144.21630457208
09/2023,90014.73805112022
10/2023,95841.28578615635
11/2023,94871.17054809484
12/2023,95060.45402529802
01/2024,96467.1370939529
02/2024,96288.44093458868
03/2024,104219.33406001412
04/2024,109487.35365668469
