Data,IE00B4ND3602
02/2018,61051.049678516756
03/2018,60786.73758838366
04/2018,61496.15198219867
05/2018,63104.34676291502
06/2018,60652.93009993175
07/2018,58818.830201597215
08/2018,58340.89777183047
09/2018,57967.38949593671
10/2018,60662.88987769182
11/2018,60563.67423330133
12/2018,63235.88659662799
01/2019,65062.43377853722
02/2019,65259.61399363126
03/2019,65106.77381973478
04/2019,64535.72600438075
05/2019,65584.12028837738
06/2019,69881.55107065913
07/2019,72244.50309290279
08/2019,78142.81725542709
09/2019,76952.03139693069
10/2019,76408.92893691381
11/2019,74984.34954728407
12/2019,76445.62492813404
01/2020,80814.8634481257
02/2020,82671.65746424625
03/2020,82770.72247576666
04/2020,88227.38472843784
05/2020,87466.70570162477
06/2020,88951.05645933523
07/2020,93414.58396157
08/2020,92323.84221113584
09/2020,90749.85234700306
10/2020,90569.9750984182
11/2020,82817.15283786145
12/2020,86737.0317173578
01/2021,86422.08673184921
02/2021,80900.1110520774
03/2021,81133.94548392907
04/2021,82290.3014008141
05/2021,87573.62793270679
06/2021,83422.08417363364
07/2021,86319.89390790203
08/2021,86204.17272109997
09/2021,84591.27017668048
10/2021,85370.15739671637
11/2021,89218.50418630372
12/2021,90274.6607091104
01/2022,90384.70150866169
02/2022,95770.91165143419
03/2022,98235.22417059969
04/2022,101804.8517457714
05/2022,96340.15492408347
06/2022,98175.90031226788
07/2022,96479.74011860944
08/2022,96270.4933314972
09/2022,96202.91427212307
10/2022,92723.77798089359
11/2022,94769.72337874038
12/2022,95272.13624980651
01/2023,99561.94369466287
02/2023,96310.2667349821
03/2023,102021.97924388947
04/2023,101166.45812725523
05/2023,103020.45519224096
06/2023,98580.24240578128
07/2023,100128.31510812073
08/2023,100079.49540366711
09/2023,98856.80320840422
10/2023,105272.98732390745
11/2023,104225.82621682501
12/2023,104452.01327924099
01/2024,106015.94961698813
02/2024,105838.11798546914
03/2024,114574.10142194937
04/2024,120385.57837505823
