Data,IE00B3VSSL01
11/2019,18826.818518643257
12/2019,19224.168946539197
01/2020,20302.556207736394
02/2020,18938.459257751372
03/2020,17302.55687651704
04/2020,19821.83190985949
05/2020,20736.51351259641
06/2020,22010.418161620844
07/2020,21933.24099102342
08/2020,24304.56438473584
09/2020,23477.619630511745
10/2020,22295.896529442154
11/2020,24319.072015839065
12/2020,25021.59042300322
01/2021,25027.784662960432
02/2021,25507.217080946015
03/2021,26820.00882704219
04/2021,27356.199685156826
05/2021,26872.66948633496
06/2021,29460.560646385984
07/2021,30539.365084903406
08/2021,31737.96357897977
09/2021,30576.531085255698
10/2021,32801.097153510935
11/2021,35021.859511685165
12/2021,36262.91682745163
01/2022,34131.87654949658
02/2022,32311.60295851585
03/2022,33652.67498150637
04/2022,31354.986169855783
05/2022,30726.625086954875
06/2022,28627.128101960017
07/2022,33034.957263327306
08/2022,31530.335940552442
09/2022,28434.844635439447
10/2022,30179.58581337114
11/2022,30807.214856775172
12/2022,27527.522734334063
01/2023,29664.102771190195
02/2023,30324.57585342187
03/2023,32769.819556306866
04/2023,32255.642153910267
05/2023,36626.83297827096
06/2023,38341.965206911365
07/2023,39060.092038148985
08/2023,39288.59172507954
09/2023,37492.69856636802
10/2023,37126.56348523348
11/2023,40776.637596395114
12/2023,42192.3983924
01/2024,45046.20516484037
02/2024,48432.5883659798
03/2024,49705.03838027488
