Data,DE000A2T0VU5
02/2010,47063.45763802088
03/2010,47684.095384957145
04/2010,51022.94051121572
05/2010,56516.713697701205
06/2010,58387.42653063558
07/2010,51670.42864560642
08/2010,56577.61055997022
09/2010,55129.688295697844
10/2010,55941.29763026227
11/2010,61257.30877648837
12/2010,60731.52965924351
01/2011,55759.98711654471
02/2011,58672.685804485285
03/2011,58257.19044637436
04/2011,59423.50620519214
05/2011,61416.764672333826
06/2011,59885.29436311963
07/2011,65645.69417253701
08/2011,72132.0771405424
09/2011,68943.8165508477
10/2011,70667.72582807597
11/2011,74755.28438328936
12/2011,69896.8705205981
01/2012,76018.40966495284
02/2012,75607.94951260096
03/2012,71467.1926964768
04/2012,71735.66224339465
05/2012,72099.53816871316
06/2012,72864.20452827738
07/2012,75766.23647210037
08/2012,74996.03284377493
09/2012,78791.85041853169
10/2012,75881.45751977758
11/2012,76220.14469709984
12/2012,72312.36393561882
01/2013,70433.38620888858
02/2013,69351.88276989096
03/2013,71532.70724401972
04/2013,64394.226123958644
05/2013,61429.029956634375
06/2013,52202.433448762415
07/2013,56713.746746084216
08/2013,60349.47383765318
09/2013,56239.80814508258
10/2013,55565.72835037034
11/2013,52693.56509657303
12/2013,49860.395838282755
01/2014,52963.35752536848
02/2014,54944.32390100814
03/2014,53593.73271082191
04/2014,53211.54303701716
05/2014,52556.515476955945
06/2014,55053.09143070005
07/2014,54921.41654337623
08/2014,55730.273179602504
09/2014,55255.53587832601
10/2014,53123.087998470684
11/2014,54136.50201989122
12/2014,56429.8609949145
01/2015,63676.93126257223
02/2015,61685.22018759049
03/2015,63000.46801747326
04/2015,60085.73756256324
05/2015,61998.97424674339
06/2015,59735.368872570245
07/2015,57157.14557998309
08/2015,57747.07097598098
09/2015,56730.67174029255
10/2015,59148.049888812464
11/2015,57250.10650887567
12/2015,55640.21356325608
01/2016,58051.28917014892
02/2016,64659.602950243265
03/2016,61932.414566323685
04/2016,64257.258796860755
05/2016,61923.96869090692
06/2016,67781.4503127696
07/2016,68793.67041024157
08/2016,66989.96822145065
09/2016,67482.05432009176
10/2016,66169.97327121922
11/2016,63067.49915217417
12/2016,62594.245520788216
01/2017,64181.603281350224
02/2017,67427.67071503893
03/2017,66252.4867668281
04/2017,65918.28606617778
05/2017,64186.2303410376
06/2017,61908.578234658766
07/2017,61463.339222007664
08/2017,63070.23082306939
09/2017,61782.53533199971
10/2017,62032.57125247721
11/2017,61400.71623535492
12/2017,61426.65826352245
01/2018,61343.97854667596
02/2018,61290.03136238852
03/2018,61025.19538431317
04/2018,61737.90125400771
05/2018,63352.932537468834
06/2018,60892.38699571659
07/2018,59051.55353391792
08/2018,58572.22220689508
09/2018,58197.72105477056
10/2018,60904.416901656055
11/2018,60805.31377070099
12/2018,63488.694552137364
01/2019,65323.073078732225
02/2019,65521.5875542569
03/2019,65368.67984284844
04/2019,64795.879603639645
05/2019,65849.04009453546
06/2019,70164.37861555093
07/2019,72537.47877949548
08/2019,78460.31706288579
09/2019,77265.34679298561
10/2019,76720.67693249126
11/2019,75290.92460602686
12/2019,76758.80186576376
01/2020,81146.57962453603
02/2020,83011.67133900966
03/2020,83111.83555129237
04/2020,88591.67829187862
05/2020,87828.59666214061
06/2020,89319.8207830746
07/2020,93802.59705955126
08/2020,92708.10641914002
09/2020,91128.3379657408
10/2020,90948.46991542689
11/2020,83164.0062670824
12/2020,87100.99535182897
01/2021,86785.45464414431
02/2021,81240.98463049004
03/2021,81476.48133470178
04/2021,82638.3981906617
05/2021,87944.76241305152
06/2021,83776.35740566281
07/2021,86687.17156696357
08/2021,86571.68039769224
09/2021,84952.62311950709
10/2021,85735.54549124949
11/2021,89601.07784021416
12/2021,90662.50989357145
01/2022,90773.77898495815
02/2022,96183.93150242478
03/2022,98659.67310265431
04/2022,102245.54627694577
05/2022,96758.04583121605
06/2022,98602.56037713718
07/2022,96899.85057347541
08/2022,96690.5001429154
09/2022,96623.43200526087
10/2022,93129.8930695197
11/2022,95185.57545837676
12/2022,95690.98614368078
01/2023,100000.45051908352
02/2023,96735.28533460923
03/2023,102473.00984078039
04/2023,101614.56047893131
05/2023,103477.61634665594
06/2023,99018.56208960159
07/2023,100574.34317921677
08/2023,100526.14412375113
09/2023,99298.83284522133
10/2023,105744.5338627765
11/2023,104693.56343878285
12/2023,104921.63801371145
01/2024,106493.48028322707
02/2024,106315.73508528616
03/2024,115092.02747628231
04/2024,120930.73399817118
