Data,IE00B60SWX25
09/2020,84456.28786019137
10/2020,78279.26093075241
11/2020,92433.44877064903
12/2020,94067.53500400794
01/2021,92292.49529733798
02/2021,96482.7797052323
03/2021,104082.77713533872
04/2021,105975.1237343341
05/2021,108409.63776066703
06/2021,109147.01204482556
07/2021,109928.81209853037
08/2021,112817.61300276224
09/2021,108965.69630840777
10/2021,114571.95158954096
11/2021,109607.18373625209
12/2021,115969.1926099276
01/2022,112742.52571418123
02/2022,106061.43337173598
03/2022,105573.92764535893
04/2022,103369.34142174716
05/2022,104269.06530948648
06/2022,95130.59838214623
07/2022,102203.23633375518
08/2022,96989.1175782812
09/2022,91587.09505021527
10/2022,99905.42556931534
11/2022,109590.76566250411
12/2022,104911.1497119263
01/2023,115276.95239441434
02/2023,117464.34287107358
03/2023,119751.07709741169
04/2023,121711.46392037763
05/2023,119015.7871556745
06/2023,124174.71458933971
07/2023,126334.17902476325
08/2023,121483.73735846857
09/2023,118086.89163531753
10/2023,114953.90682675829
11/2023,124191.06132209941
12/2023,128167.45867327276
01/2024,131921.00414356933
02/2024,138570.49459522005
03/2024,144562.41794909787
04/2024,141034.00647302312
