Data,IE00BYML9W36
07/2005,40304.03613318973
08/2005,39590.84978667357
09/2005,40426.898924938025
10/2005,39814.084799308235
11/2005,42210.05816974118
12/2005,42122.77374643867
01/2006,42090.969329365245
02/2006,43067.090234487274
03/2006,42776.4327480645
04/2006,41851.79183965083
05/2006,39599.94033713592
06/2006,40135.43874213633
07/2006,40210.53710264148
08/2006,40896.502442572615
09/2006,42581.615140440204
10/2006,43842.727095370836
11/2006,42968.78037897597
12/2006,43668.992800744265
01/2007,45066.76935838596
02/2007,43323.87471037249
03/2007,43454.67665047341
04/2007,44420.41517011049
05/2007,46488.01873771894
06/2007,45537.74244282855
07/2007,43473.67163046608
08/2007,44129.97769084656
09/2007,44248.11157993619
10/2007,44116.22648975302
11/2007,41370.826453450245
12/2007,41193.71259042651
01/2008,38333.13027111181
02/2008,36359.99686206045
03/2008,34724.69224338968
04/2008,37051.85045696147
05/2008,37607.67124878261
06/2008,33876.3888560481
07/2008,33919.42892346722
08/2008,36454.3452133137
09/2008,34207.406799932236
10/2008,31910.236856265416
11/2008,29689.012573799602
12/2008,27438.04111121728
01/2009,27282.724340187688
02/2009,24708.21645321346
03/2009,25530.752343151955
04/2009,28042.755415966934
05/2009,27881.44651954475
06/2009,27864.48235598582
07/2009,29962.328370218333
08/2009,30751.35101293619
09/2009,31089.438197970536
10/2009,30186.944676706837
11/2009,31521.397774404963
12/2009,33505.0605908429
01/2010,33316.00166109683
02/2010,35348.93674364254
03/2010,37733.71881637207
04/2010,38799.92595127616
05/2010,38624.25059334043
06/2010,36708.096005424886
07/2010,36995.974717828176
08/2010,36293.94818819883
09/2010,36727.44433044353
10/2010,37548.4535438484
11/2010,40033.4072932816
12/2010,41543.79331596252
01/2011,41501.67086616347
02/2011,42481.15312381511
03/2011,41380.50088294874
04/2011,40731.98738672693
05/2011,41598.99167710581
06/2011,40711.38160133811
07/2011,40421.6937833143
08/2011,37721.51541332047
09/2011,37527.79698438341
10/2011,40147.015803899536
