Data,IE00B5VX7566
02/2018,131932.09810642505
03/2018,128004.09337768999
04/2018,131419.55172922774
05/2018,134330.8470886617
06/2018,131386.53677746144
07/2018,131013.76968791914
08/2018,132240.87149166703
09/2018,137120.10043654044
10/2018,128365.9863284411
11/2018,128388.04711683851
12/2018,118838.51247587038
01/2019,125651.52168387093
02/2019,126382.74652544291
03/2019,129124.92345160327
04/2019,131093.69529041275
05/2019,126638.01456905832
06/2019,128713.64087689461
07/2019,131519.54406164857
08/2019,131522.64232703403
09/2019,138665.22744284896
10/2019,141917.89358101197
11/2019,144927.52463609856
12/2019,144607.77053158023
01/2020,144966.5686412221
02/2020,132586.49358842085
03/2020,123324.52428726108
04/2020,130907.79063317116
05/2020,135401.46172447302
06/2020,134611.39178298606
07/2020,125185.64260371168
08/2020,133656.92775390387
09/2020,137618.24973406005
10/2020,135512.26107438706
11/2020,148832.44221256077
12/2020,151275.45864970537
01/2021,151403.30635718408
02/2021,153862.30718435816
03/2021,160723.52289002325
04/2021,153574.11209185375
05/2021,154418.1308435993
06/2021,158052.47487256952
07/2021,155934.39665346674
08/2021,161470.93767013395
09/2021,169540.9827019936
10/2021,162882.52752001627
11/2021,162784.0843260825
12/2021,166383.48476371818
01/2022,160323.04541720246
02/2022,157896.61736104687
03/2022,158465.40557911652
04/2022,152180.25438829671
05/2022,152151.19310351793
06/2022,144515.56745373187
07/2022,155559.6623391675
08/2022,154563.46284120367
09/2022,142106.28004890066
10/2022,143845.8663028566
11/2022,150718.57467701344
12/2022,146987.58190238586
01/2023,153691.95265277434
02/2023,150746.2035094719
03/2023,153009.49317793502
04/2023,152062.86609493667
05/2023,159188.57666844217
06/2023,162891.54881187528
07/2023,165392.95272458464
08/2023,163661.5764885899
09/2023,164342.1427426754
10/2023,156544.97622104306
11/2023,165062.1439730497
12/2023,170387.08556176006
01/2024,181732.25119164996
02/2024,187339.00917835903
03/2024,193232.40558790494
04/2024,185411.53573572368
