Data,IE00B8KGV557
12/2016,76278.52080371059
01/2017,76690.87504680066
02/2017,80062.02184297913
03/2017,81448.18301547565
04/2017,80948.49977607903
05/2017,80426.04685627045
06/2017,79690.24787578506
07/2017,80096.23854953055
08/2017,80641.70785191958
09/2017,80517.55765114694
10/2017,83329.28102843818
11/2017,82015.47414508068
12/2017,84625.01228814296
01/2018,86266.38914608027
02/2018,84697.84169867782
03/2018,83912.94959829608
04/2018,85370.76269349303
05/2018,86742.06857167529
06/2018,83975.64258294636
07/2018,85507.983586041
08/2018,85600.50041889494
09/2018,86181.87904401451
10/2018,82029.03785603686
11/2018,84773.82072981885
12/2018,83187.24882435333
01/2019,87577.88321702834
02/2019,88423.17234386948
03/2019,89976.45779091601
04/2019,91280.59240682937
05/2019,87474.08440126893
06/2019,89102.39642007418
07/2019,90441.8102205746
08/2019,88887.87174947413
09/2019,90411.5871974914
10/2019,90369.30852784494
11/2019,89826.70047592203
12/2019,91613.91263476916
01/2020,89360.00329326389
02/2020,84919.52791804784
03/2020,75171.71001462545
04/2020,82814.98644227663
05/2020,80279.11837550423
06/2020,82577.01001818704
07/2020,82057.27511055801
08/2020,82821.43726905208
09/2020,83080.13617645063
10/2020,83340.30207402734
11/2020,87456.66772088461
12/2020,90047.17053109867
01/2021,91731.91969823779
02/2021,92814.6721071273
03/2021,96802.80289676352
04/2021,94940.448219248
05/2021,96304.48390304508
06/2021,98321.08757947943
07/2021,94340.40253621053
08/2021,98500.30750069581
09/2021,98797.69169471235
10/2021,98743.02317079843
11/2021,98947.26340366766
12/2021,102568.47548536403
01/2022,102021.87103361235
02/2022,102032.77009939442
03/2022,102146.64706817191
04/2022,103941.26396121393
05/2022,100464.67012414386
06/2022,97915.10743118644
07/2022,100799.00317889643
08/2022,101992.51231983013
09/2022,96718.12660498287
10/2022,93524.7825820759
11/2022,97161.38523341577
12/2022,93344.39100085468
01/2023,94827.14739660925
02/2023,93839.1401608771
03/2023,94268.59156583073
04/2023,95206.04688795438
05/2023,96293.91133840969
06/2023,95867.26911760058
07/2023,97602.49645756734
08/2023,95112.84052936765
09/2023,96128.91247500814
10/2023,92578.45923908935
11/2023,95041.95170362025
12/2023,97736.25831243274
01/2024,97506.3130944709
02/2024,101609.07745243028
03/2024,101574.87636119971
04/2024,101770.36016883576
